author_id,scopus_id,h_index,document_count,current_affiliation,current_affiliation_country,affiliation_history,updated_at
https://openalex.org/A5100440252,9740369100,11,20,,,,2026-05-04T20:13:33+00:00
https://openalex.org/A5023801499,57206184002,16,36,,,,2026-05-04T20:13:35+00:00
https://openalex.org/A5089412876,57204355683,30,200,,,,2026-05-04T20:13:40+00:00
https://openalex.org/A5101621246,57192678520,3,3,,,,2026-05-04T20:13:42+00:00
https://openalex.org/A5100770990,14323792200,33,131,,,,2026-05-04T20:13:43+00:00
https://openalex.org/A5066272007,57224351470,1,1,,,,2026-05-04T20:13:45+00:00
https://openalex.org/A5000064963,57192688547,1,1,,,,2026-05-04T20:13:46+00:00
https://openalex.org/A5081926468,57192678552,1,1,,,,2026-05-04T20:13:47+00:00
https://openalex.org/A5101651289,55279286800,21,83,,,,2026-05-04T20:13:49+00:00
https://openalex.org/A5100453660,57211655385,19,99,,,,2026-05-04T20:13:50+00:00
https://openalex.org/A5031454610,57201981446,8,11,,,,2026-05-04T20:13:52+00:00
https://openalex.org/A5100374669,56004278600,40,469,,,,2026-05-04T20:13:53+00:00
https://openalex.org/A5100677385,55705940100,15,158,,,,2026-05-04T20:13:54+00:00
https://openalex.org/A5086942546,56019943800,11,21,,,,2026-05-04T20:13:56+00:00
https://openalex.org/A5100726797,43861566400,14,29,,,,2026-05-04T20:13:58+00:00
https://openalex.org/A5100397246,57202297383,15,19,,,,2026-05-04T20:14:02+00:00
https://openalex.org/A5100448150,55981694300,25,71,,,,2026-05-04T20:14:04+00:00
https://openalex.org/A5054717630,57205462905,9,28,,,,2026-05-04T20:14:05+00:00
https://openalex.org/A5031886887,8636386200,36,327,,,,2026-05-04T20:14:07+00:00
https://openalex.org/A5074703860,57212531647,2,2,,,,2026-05-04T20:14:07+00:00
https://openalex.org/A5101428402,55521758900,54,450,,,,2026-05-04T20:14:10+00:00
https://openalex.org/A5074471407,18536939900,54,354,,,,2026-05-04T20:14:13+00:00
https://openalex.org/A5043073199,57207576178,26,195,,,,2026-05-04T20:14:17+00:00
https://openalex.org/A5042251272,56022647300,104,652,,,,2026-05-04T20:14:19+00:00
https://openalex.org/A5067719811,57211386327,27,34,,,,2026-05-04T20:14:20+00:00
https://openalex.org/A5049313911,58556411300,92,709,,,,2026-05-04T20:14:22+00:00
https://openalex.org/A5069272139,23568246300,13,51,,,,2026-05-04T20:14:23+00:00
https://openalex.org/A5067090763,57202709278,24,57,,,,2026-05-04T20:14:25+00:00
https://openalex.org/A5005956916,6601956122,29,112,,,,2026-05-04T20:14:27+00:00
https://openalex.org/A5100770711,12799804400,63,659,,,,2026-05-04T20:14:28+00:00
https://openalex.org/A5012063967,56538972500,4,4,,,,2026-05-04T20:14:32+00:00
https://openalex.org/A5091736927,35095102600,8,19,,,,2026-05-04T20:14:34+00:00
https://openalex.org/A5056530671,57202821386,2,7,,,,2026-05-04T20:14:37+00:00
https://openalex.org/A5100444654,57011448600,109,634,,,,2026-05-04T20:14:38+00:00
https://openalex.org/A5100332025,55826458200,1,1,,,,2026-05-04T20:14:40+00:00
https://openalex.org/A5056455223,57201011962,22,136,,,,2026-05-04T20:14:41+00:00
https://openalex.org/A5050984886,35434863500,31,205,,,,2026-05-04T20:14:43+00:00
https://openalex.org/A5088232490,57200160250,19,37,,,,2026-05-04T20:14:45+00:00
https://openalex.org/A5018368360,55891030400,10,28,,,,2026-05-04T20:14:48+00:00
https://openalex.org/A5107950213,35243755100,74,1018,,,,2026-05-04T20:14:51+00:00
https://openalex.org/A5102756954,35232648300,99,997,,,,2026-05-04T20:14:58+00:00
https://openalex.org/A5001293665,23390824100,81,360,,,,2026-05-04T20:15:00+00:00
https://openalex.org/A5059884896,57191990872,45,103,,,,2026-05-04T20:15:02+00:00
https://openalex.org/A5010442746,57254430700,2,2,,,,2026-05-04T20:15:04+00:00
https://openalex.org/A5018475126,57218548867,12,13,,,,2026-05-04T20:15:05+00:00
https://openalex.org/A5084607536,7004834165,105,1331,,,,2026-05-04T20:15:06+00:00
https://openalex.org/A5081784318,57304904400,41,87,,,,2026-05-04T20:15:08+00:00
https://openalex.org/A5079766022,23033319600,59,583,,,,2026-05-04T20:15:09+00:00
https://openalex.org/A5007028844,57201008317,96,401,,,,2026-05-04T20:15:10+00:00
